v1,v2
v2,v3
v2,v4
v3,v4
v4,v5
v5,v6
v5,v7
v6,v10
v7,v8
v8,v9
v9,v5
v11,v12
v13,v14
v14,v15
v16,v17
v17,v18
v19,v20
v20,v21
v22,v23
v23,v24
v24,v25
v25,v26
v27,v28
v28,v29
v29,v30
v29,v31
v30,v31
v31,v32
v32,v33
v32,v37
v33,v34
v33,v35
v34,v35
v35,v36
v36,v37
v37,v38
v38,v39
v40,v41
v42,v43
v44,v45
v46,v47
v47,v48
v48,v49
v48,v50
v50,v51
v52,v53
v53,v54
v54,v55
v55,v56
v56,v57
v57,v58
v57,v59
v58,v62
v59,v60
v59,v61
v60,v61
v61,v57
v63,v64
v64,v65
v66,v67
v67,v68
v69,v70
v70,v71
v72,v73
v74,v75
v75,v76
v76,v77
v77,v78
v78,v79
v79,v80
v80,v81
