v1,v2
v3,v4
v4,v5
v4,v7
v7,v8
v7,v10
v9,v6
v10,v11
v10,v13
v12,v9
v13,v14
v13,v16
v15,v12
v16,v17
v16,v19
v18,v15
v19,v20
v19,v22
v21,v18
v22,v23
v22,v25
v24,v21
v25,v26
v25,v28
v27,v24
v28,v29
v28,v31
v30,v27
v32,v33
v33,v34
v34,v36
v35,v38
v35,v40
v36,v35
v37,v35
v38,v39
v39,v35
v40,v42
v41,v44
v43,v41
v44,v45
v45,v41
v46,v47
v47,v49
v48,v54
v49,v50
v49,v51
v51,v52
v53,v48
v54,v55
v55,v48
v56,v57
v57,v59
v58,v61
v60,v58
v61,v62
v62,v58
v63,v64
v65,v66
v66,v68
v67,v70
v69,v67
v70,v71
v71,v67
v72,v73
v74,v75
v75,v77
v76,v79
v78,v76
v79,v80
v80,v76
v81,v82
