v1,v2
v2,v3
v4,v5
v5,v6
v6,v7
v7,v8
v8,v9
v8,v10
v9,v46
v10,v11
v11,v12
v11,v14
v12,v13
v13,v45
v14,v15
v14,v30
v15,v16
v16,v17
v17,v18
v18,v19
v18,v21
v19,v20
v20,v29
v21,v22
v21,v24
v23,v20
v24,v25
v25,v26
v26,v27
v26,v28
v27,v28
v28,v23
v29,v13
v30,v31
v30,v44
v31,v32
v31,v34
v32,v33
v33,v43
v34,v35
v34,v42
v35,v36
v36,v37
v36,v38
v38,v39
v39,v40
v40,v41
v41,v33
v42,v41
v43,v29
v44,v43
v45,v8
v47,v48
v48,v49
v48,v52
v49,v50
v49,v51
v50,v52
v51,v49
v53,v54
v54,v55
v54,v57
v55,v56
v56,v57
v57,v58
v59,v60
v60,v61
v60,v62
v61,v62
v62,v63
v63,v64
v63,v65
v64,v65
v65,v66
v67,v68
v68,v71
v68,v72
v72,v73
v73,v74
v73,v81
v74,v75
v75,v76
v76,v77
v76,v79
v77,v78
v78,v71
v79,v80
v80,v68
v81,v82
v81,v85
v82,v83
v83,v71
v84,v80
v85,v86
v86,v71
