1:LVR:0:POS:org.apache.commons.csv.CSVRecord:33:0 |==> 1
2:LVR:0:NEG:org.apache.commons.csv.CSVRecord:33:0 |==> -1
3:EVR:<IDENTIFIER(long)>:<DEFAULT>:org.apache.commons.csv.CSVRecord@<init>(java.lang.String[],java.util.Map<java.lang.String,java.lang.Integer>,java.lang.String,long,long):53:recordNumber |==> 0L
4:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):org.apache.commons.csv.CSVRecord@<init>(java.lang.String[],java.util.Map<java.lang.String,java.lang.Integer>,java.lang.String,long,long):54:values != null |==> true
5:EVR:<IDENTIFIER(java.util.Map<java.lang.String,java.lang.Integer>)>:<DEFAULT>:org.apache.commons.csv.CSVRecord@<init>(java.lang.String[],java.util.Map<java.lang.String,java.lang.Integer>,java.lang.String,long,long):55:mapping |==> null
6:EVR:<IDENTIFIER(java.lang.String)>:<DEFAULT>:org.apache.commons.csv.CSVRecord@<init>(java.lang.String[],java.util.Map<java.lang.String,java.lang.Integer>,java.lang.String,long,long):56:comment |==> null
7:EVR:<IDENTIFIER(long)>:<DEFAULT>:org.apache.commons.csv.CSVRecord@<init>(java.lang.String[],java.util.Map<java.lang.String,java.lang.Integer>,java.lang.String,long,long):57:characterPosition |==> 0L
8:EVR:<METHOD_INVOCATION(java.lang.String)>:<DEFAULT>:org.apache.commons.csv.CSVRecord@get(java.lang.Enum<?>):68:get(e.toString()) |==> null
9:EVR:<ARRAY_ACCESS(java.lang.String)>:<DEFAULT>:org.apache.commons.csv.CSVRecord@get(int):79:values[i] |==> null
10:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.apache.commons.csv.CSVRecord@get(java.lang.String):96:mapping == null |==> false
11:EVR:<METHOD_INVOCATION(java.lang.Integer)>:<DEFAULT>:org.apache.commons.csv.CSVRecord@get(java.lang.String):100:mapping.get(name) |==> null
12:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.apache.commons.csv.CSVRecord@get(java.lang.String):101:index == null |==> false
13:EVR:<ARRAY_ACCESS(java.lang.String)>:<DEFAULT>:org.apache.commons.csv.CSVRecord@get(java.lang.String):106:values[index.intValue()] |==> null
14:EVR:<IDENTIFIER(long)>:<DEFAULT>:org.apache.commons.csv.CSVRecord@getCharacterPosition():121:characterPosition |==> 0L
15:EVR:<IDENTIFIER(java.lang.String)>:<DEFAULT>:org.apache.commons.csv.CSVRecord@getComment():133:comment |==> null
16:EVR:<IDENTIFIER(long)>:<DEFAULT>:org.apache.commons.csv.CSVRecord@getRecordNumber():148:recordNumber |==> 0L
17:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.apache.commons.csv.CSVRecord@isConsistent():162:mapping == null |==> false
18:ROR:==(int,int):<=(int,int):org.apache.commons.csv.CSVRecord@isConsistent():162:mapping.size() == values.length |==> mapping.size() <= values.length
19:ROR:==(int,int):>=(int,int):org.apache.commons.csv.CSVRecord@isConsistent():162:mapping.size() == values.length |==> mapping.size() >= values.length
20:ROR:==(int,int):FALSE(int,int):org.apache.commons.csv.CSVRecord@isConsistent():162:mapping.size() == values.length |==> false
21:COR:||(boolean,boolean):!=(boolean,boolean):org.apache.commons.csv.CSVRecord@isConsistent():162:mapping == null || mapping.size() == values.length |==> mapping == null != (mapping.size() == values.length)
