1:ROR:!=(int,int):<(int,int):org.apache.commons.math3.distribution.EnumeratedIntegerDistribution@<init>(org.apache.commons.math3.random.RandomGenerator,int[],double[]):90:singletons.length != probabilities.length |==> singletons.length < probabilities.length
2:ROR:!=(int,int):>(int,int):org.apache.commons.math3.distribution.EnumeratedIntegerDistribution@<init>(org.apache.commons.math3.random.RandomGenerator,int[],double[]):90:singletons.length != probabilities.length |==> singletons.length > probabilities.length
3:ROR:!=(int,int):TRUE(int,int):org.apache.commons.math3.distribution.EnumeratedIntegerDistribution@<init>(org.apache.commons.math3.random.RandomGenerator,int[],double[]):90:singletons.length != probabilities.length |==> true
4:EVR:<NEW_CLASS(java.util.ArrayList<org.apache.commons.math3.util.Pair<java.lang.Integer,java.lang.Double>>)>:<DEFAULT>:org.apache.commons.math3.distribution.EnumeratedIntegerDistribution@<init>(org.apache.commons.math3.random.RandomGenerator,int[],double[]):94:new ArrayList<Pair<Integer, Double>>(singletons.length) |==> null
5:LVR:0:POS:org.apache.commons.math3.distribution.EnumeratedIntegerDistribution@<init>(org.apache.commons.math3.random.RandomGenerator,int[],double[]):96:0 |==> 1
6:LVR:0:NEG:org.apache.commons.math3.distribution.EnumeratedIntegerDistribution@<init>(org.apache.commons.math3.random.RandomGenerator,int[],double[]):96:0 |==> -1
7:ROR:<(int,int):!=(int,int):org.apache.commons.math3.distribution.EnumeratedIntegerDistribution@<init>(org.apache.commons.math3.random.RandomGenerator,int[],double[]):96:i < singletons.length |==> i != singletons.length
8:ROR:<(int,int):<=(int,int):org.apache.commons.math3.distribution.EnumeratedIntegerDistribution@<init>(org.apache.commons.math3.random.RandomGenerator,int[],double[]):96:i < singletons.length |==> i <= singletons.length
9:ROR:<(int,int):FALSE(int,int):org.apache.commons.math3.distribution.EnumeratedIntegerDistribution@<init>(org.apache.commons.math3.random.RandomGenerator,int[],double[]):96:i < singletons.length |==> false
10:STD:<CALL>:<NO-OP>:org.apache.commons.math3.distribution.EnumeratedIntegerDistribution@<init>(org.apache.commons.math3.random.RandomGenerator,int[],double[]):97:samples.add(new Pair<Integer, Double>(singletons[i], probabilities[i])) |==> <NO-OP>
11:EVR:<NEW_CLASS(org.apache.commons.math3.distribution.EnumeratedDistribution<java.lang.Integer>)>:<DEFAULT>:org.apache.commons.math3.distribution.EnumeratedIntegerDistribution@<init>(org.apache.commons.math3.random.RandomGenerator,int[],double[]):100:new EnumeratedDistribution<Integer>(rng, samples) |==> null
