1:ORU:-(double):+(double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:60:-1.0 |==> +1.0
2:LVR:POS:0:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:60:1.0 |==> 0.0
3:LVR:POS:NEG:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:60:1.0 |==> -1.0
4:LVR:POS:0:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:60:3.0 |==> 0.0
5:LVR:POS:NEG:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:60:3.0 |==> -3.0
6:AOR:/(double,double):%(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:60:-1.0 / FastMath.sqrt(3.0) |==> -1.0 % FastMath.sqrt(3.0)
7:AOR:/(double,double):*(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:60:-1.0 / FastMath.sqrt(3.0) |==> -1.0 * FastMath.sqrt(3.0)
8:AOR:/(double,double):+(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:60:-1.0 / FastMath.sqrt(3.0) |==> -1.0 + FastMath.sqrt(3.0)
9:AOR:/(double,double):-(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:60:-1.0 / FastMath.sqrt(3.0) |==> -1.0 - FastMath.sqrt(3.0)
10:LVR:POS:0:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:61:1.0 |==> 0.0
11:LVR:POS:NEG:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:61:1.0 |==> -1.0
12:LVR:POS:0:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:61:3.0 |==> 0.0
13:LVR:POS:NEG:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:61:3.0 |==> -3.0
14:AOR:/(double,double):%(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:61:1.0 / FastMath.sqrt(3.0) |==> 1.0 % FastMath.sqrt(3.0)
15:AOR:/(double,double):*(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:61:1.0 / FastMath.sqrt(3.0) |==> 1.0 * FastMath.sqrt(3.0)
16:AOR:/(double,double):+(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:61:1.0 / FastMath.sqrt(3.0) |==> 1.0 + FastMath.sqrt(3.0)
17:AOR:/(double,double):-(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:61:1.0 / FastMath.sqrt(3.0) |==> 1.0 - FastMath.sqrt(3.0)
18:LVR:POS:0:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:66:1.0 |==> 0.0
19:LVR:POS:NEG:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:66:1.0 |==> -1.0
20:LVR:POS:0:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:67:1.0 |==> 0.0
21:LVR:POS:NEG:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:67:1.0 |==> -1.0
22:ORU:-(double):+(double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:72:-FastMath.sqrt(0.6) |==> +FastMath.sqrt(0.6)
23:LVR:POS:0:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:72:0.6 |==> 0.0
24:LVR:POS:NEG:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:72:0.6 |==> -0.6
25:LVR:0:POS:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:73:0.0 |==> 1.0
26:LVR:0:NEG:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:73:0.0 |==> -1.0
27:LVR:POS:0:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:74:0.6 |==> 0.0
28:LVR:POS:NEG:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:74:0.6 |==> -0.6
29:LVR:POS:0:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:79:5.0 |==> 0.0
30:LVR:POS:NEG:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:79:5.0 |==> -5.0
31:LVR:POS:0:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:79:9.0 |==> 0.0
32:LVR:POS:NEG:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:79:9.0 |==> -9.0
33:AOR:/(double,double):%(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:79:5.0 / 9.0 |==> 5.0 % 9.0
34:AOR:/(double,double):*(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:79:5.0 / 9.0 |==> 5.0 * 9.0
35:AOR:/(double,double):+(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:79:5.0 / 9.0 |==> 5.0 + 9.0
