1:ROR:!=(int,int):<(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):70:x.length != y.length |==> x.length < y.length
2:ROR:!=(int,int):>(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):70:x.length != y.length |==> x.length > y.length
3:ROR:!=(int,int):TRUE(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):70:x.length != y.length |==> true
4:LVR:POS:0:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):74:3 |==> 0
5:LVR:POS:NEG:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):74:3 |==> -3
6:ROR:<(int,int):!=(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):74:x.length < 3 |==> x.length != 3
7:ROR:<(int,int):<=(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):74:x.length < 3 |==> x.length <= 3
8:ROR:<(int,int):FALSE(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):74:x.length < 3 |==> false
9:LVR:POS:0:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):76:3 |==> 0
10:LVR:POS:NEG:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):76:3 |==> -3
11:LVR:TRUE:FALSE:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):76:true |==> false
12:LVR:POS:0:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):80:1 |==> 0
13:LVR:POS:NEG:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):80:1 |==> -1
14:AOR:-(int,int):%(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):80:x.length - 1 |==> x.length % 1
15:AOR:-(int,int):*(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):80:x.length - 1 |==> x.length * 1
16:AOR:-(int,int):+(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):80:x.length - 1 |==> x.length + 1
17:AOR:-(int,int):/(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):80:x.length - 1 |==> x.length / 1
18:STD:<CALL>:<NO-OP>:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):82:MathArrays.checkOrder(x) |==> <NO-OP>
19:EVR:<NEW_ARRAY(double[])>:<DEFAULT>:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):85:new double[n] |==> null
20:LVR:0:POS:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):86:0 |==> 1
21:LVR:0:NEG:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):86:0 |==> -1
22:ROR:<(int,int):!=(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):86:i < n |==> i != n
23:ROR:<(int,int):<=(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):86:i < n |==> i <= n
24:ROR:<(int,int):FALSE(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):86:i < n |==> false
25:LVR:POS:0:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):87:1 |==> 0
26:LVR:POS:NEG:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):87:1 |==> -1
27:AOR:+(int,int):%(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):87:i + 1 |==> i % 1
28:AOR:+(int,int):*(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):87:i + 1 |==> i * 1
29:AOR:+(int,int):-(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):87:i + 1 |==> i - 1
30:AOR:+(int,int):/(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):87:i + 1 |==> i / 1
31:AOR:-(double,double):%(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):87:x[i + 1] - x[i] |==> x[i + 1] % x[i]
32:AOR:-(double,double):*(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):87:x[i + 1] - x[i] |==> x[i + 1] * x[i]
33:AOR:-(double,double):+(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):87:x[i + 1] - x[i] |==> x[i + 1] + x[i]
34:AOR:-(double,double):/(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):87:x[i + 1] - x[i] |==> x[i + 1] / x[i]
35:STD:<ASSIGN>:<NO-OP>:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):87:h[i] = x[i + 1] - x[i] |==> <NO-OP>
36:EVR:<NEW_ARRAY(double[])>:<DEFAULT>:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):90:new double[n] |==> null
37:LVR:POS:0:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):91:1 |==> 0
38:LVR:POS:NEG:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):91:1 |==> -1
39:AOR:+(int,int):%(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):91:n + 1 |==> n % 1
40:AOR:+(int,int):*(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):91:n + 1 |==> n * 1
41:AOR:+(int,int):-(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):91:n + 1 |==> n - 1
