1:ROR:>=(double,double):==(double,double):org.apache.commons.math3.distribution.TriangularDistribution@<init>(org.apache.commons.math3.random.RandomGenerator,double,double,double):82:a >= b |==> a == b
2:ROR:>=(double,double):>(double,double):org.apache.commons.math3.distribution.TriangularDistribution@<init>(org.apache.commons.math3.random.RandomGenerator,double,double,double):82:a >= b |==> a > b
3:ROR:>=(double,double):TRUE(double,double):org.apache.commons.math3.distribution.TriangularDistribution@<init>(org.apache.commons.math3.random.RandomGenerator,double,double,double):82:a >= b |==> true
4:LVR:FALSE:TRUE:org.apache.commons.math3.distribution.TriangularDistribution@<init>(org.apache.commons.math3.random.RandomGenerator,double,double,double):85:false |==> true
5:ROR:<(double,double):!=(double,double):org.apache.commons.math3.distribution.TriangularDistribution@<init>(org.apache.commons.math3.random.RandomGenerator,double,double,double):87:c < a |==> c != a
6:ROR:<(double,double):<=(double,double):org.apache.commons.math3.distribution.TriangularDistribution@<init>(org.apache.commons.math3.random.RandomGenerator,double,double,double):87:c < a |==> c <= a
7:ROR:<(double,double):FALSE(double,double):org.apache.commons.math3.distribution.TriangularDistribution@<init>(org.apache.commons.math3.random.RandomGenerator,double,double,double):87:c < a |==> false
8:LVR:TRUE:FALSE:org.apache.commons.math3.distribution.TriangularDistribution@<init>(org.apache.commons.math3.random.RandomGenerator,double,double,double):89:true |==> false
9:ROR:>(double,double):!=(double,double):org.apache.commons.math3.distribution.TriangularDistribution@<init>(org.apache.commons.math3.random.RandomGenerator,double,double,double):91:c > b |==> c != b
10:ROR:>(double,double):>=(double,double):org.apache.commons.math3.distribution.TriangularDistribution@<init>(org.apache.commons.math3.random.RandomGenerator,double,double,double):91:c > b |==> c >= b
11:ROR:>(double,double):FALSE(double,double):org.apache.commons.math3.distribution.TriangularDistribution@<init>(org.apache.commons.math3.random.RandomGenerator,double,double,double):91:c > b |==> false
12:LVR:TRUE:FALSE:org.apache.commons.math3.distribution.TriangularDistribution@<init>(org.apache.commons.math3.random.RandomGenerator,double,double,double):93:true |==> false
13:EVR:<IDENTIFIER(double)>:<DEFAULT>:org.apache.commons.math3.distribution.TriangularDistribution@<init>(org.apache.commons.math3.random.RandomGenerator,double,double,double):96:a |==> 0.0
14:EVR:<IDENTIFIER(double)>:<DEFAULT>:org.apache.commons.math3.distribution.TriangularDistribution@<init>(org.apache.commons.math3.random.RandomGenerator,double,double,double):97:c |==> 0.0
15:EVR:<IDENTIFIER(double)>:<DEFAULT>:org.apache.commons.math3.distribution.TriangularDistribution@<init>(org.apache.commons.math3.random.RandomGenerator,double,double,double):98:b |==> 0.0
16:EVR:<METHOD_INVOCATION(double)>:<DEFAULT>:org.apache.commons.math3.distribution.TriangularDistribution@<init>(org.apache.commons.math3.random.RandomGenerator,double,double,double):99:FastMath.max(FastMath.ulp(a), FastMath.ulp(b)) |==> 0.0
17:EVR:<IDENTIFIER(double)>:<DEFAULT>:org.apache.commons.math3.distribution.TriangularDistribution@getMode():108:c |==> 0.0
18:EVR:<IDENTIFIER(double)>:<DEFAULT>:org.apache.commons.math3.distribution.TriangularDistribution@getSolverAbsoluteAccuracy():126:solverAbsoluteAccuracy |==> 0.0
19:ROR:<(double,double):!=(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):142:x < a |==> x != a
20:ROR:<(double,double):<=(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):142:x < a |==> x <= a
21:ROR:<(double,double):FALSE(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):142:x < a |==> false
22:LVR:0:POS:org.apache.commons.math3.distribution.TriangularDistribution@density(double):143:0 |==> 1
23:LVR:0:NEG:org.apache.commons.math3.distribution.TriangularDistribution@density(double):143:0 |==> -1
24:STD:<RETURN>:<NO-OP>:org.apache.commons.math3.distribution.TriangularDistribution@density(double):143:return Config.__M_NO == 0 && Config.COVERED(22, 23) ? 0 : Config.__M_NO == 23 ? -1 : Config.__M_NO == 22 ? 1 : 0; |==> <NO-OP>
25:ROR:<=(double,double):<(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):145:a <= x |==> a < x
26:ROR:<=(double,double):==(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):145:a <= x |==> a == x
27:ROR:<=(double,double):TRUE(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):145:a <= x |==> true
28:ROR:<(double,double):!=(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):145:x < c |==> x != c
29:ROR:<(double,double):<=(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):145:x < c |==> x <= c
30:ROR:<(double,double):FALSE(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):145:x < c |==> false
31:COR:&&(boolean,boolean):==(boolean,boolean):org.apache.commons.math3.distribution.TriangularDistribution@density(double):145:a <= x && x < c |==> a <= x == x < c
32:COR:&&(boolean,boolean):FALSE(boolean,boolean):org.apache.commons.math3.distribution.TriangularDistribution@density(double):145:a <= x && x < c |==> false
33:COR:&&(boolean,boolean):LHS(boolean,boolean):org.apache.commons.math3.distribution.TriangularDistribution@density(double):145:a <= x && x < c |==> a <= x
34:COR:&&(boolean,boolean):RHS(boolean,boolean):org.apache.commons.math3.distribution.TriangularDistribution@density(double):145:a <= x && x < c |==> x < c
35:LVR:POS:0:org.apache.commons.math3.distribution.TriangularDistribution@density(double):146:2 |==> 0
36:LVR:POS:NEG:org.apache.commons.math3.distribution.TriangularDistribution@density(double):146:2 |==> -2
37:AOR:-(double,double):%(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):146:x - a |==> x % a
38:AOR:-(double,double):*(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):146:x - a |==> x * a
39:AOR:-(double,double):+(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):146:x - a |==> x + a
40:AOR:-(double,double):/(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):146:x - a |==> x / a
41:AOR:*(double,double):%(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):146:2 * (x - a) |==> 2 % (x - a)
42:AOR:*(double,double):+(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):146:2 * (x - a) |==> 2 + (x - a)
43:AOR:*(double,double):-(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):146:2 * (x - a) |==> 2 - (x - a)
44:AOR:*(double,double):/(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):146:2 * (x - a) |==> 2 / (x - a)
45:AOR:-(double,double):%(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):147:b - a |==> b % a
46:AOR:-(double,double):*(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):147:b - a |==> b * a
47:AOR:-(double,double):+(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):147:b - a |==> b + a
48:AOR:-(double,double):/(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):147:b - a |==> b / a
49:AOR:-(double,double):%(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):147:c - a |==> c % a
50:AOR:-(double,double):*(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):147:c - a |==> c * a
51:AOR:-(double,double):+(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):147:c - a |==> c + a
52:AOR:-(double,double):/(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):147:c - a |==> c / a
53:AOR:*(double,double):%(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):147:(b - a) * (c - a) |==> (b - a) % (c - a)
54:AOR:*(double,double):+(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):147:(b - a) * (c - a) |==> (b - a) + (c - a)
55:AOR:*(double,double):-(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):147:(b - a) * (c - a) |==> (b - a) - (c - a)
56:AOR:*(double,double):/(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):147:(b - a) * (c - a) |==> (b - a) / (c - a)
57:AOR:/(double,double):%(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):148:divident / divisor |==> divident % divisor
58:AOR:/(double,double):*(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):148:divident / divisor |==> divident * divisor
59:AOR:/(double,double):+(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):148:divident / divisor |==> divident + divisor
60:AOR:/(double,double):-(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):148:divident / divisor |==> divident - divisor
61:STD:<RETURN>:<NO-OP>:org.apache.commons.math3.distribution.TriangularDistribution@density(double):148:return Config.__M_NO == 60 ? divident - divisor : Config.__M_NO == 59 ? divident + divisor : Config.__M_NO == 58 ? divident * divisor : Config.__M_NO == 57 ? divident % divisor : Config.__M_NO == 0 && Config.COVERED(57, 60) ? divident / divisor : divident / divisor; |==> <NO-OP>
62:ROR:==(double,double):<=(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):150:x == c |==> x <= c
63:ROR:==(double,double):>=(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):150:x == c |==> x >= c
64:ROR:==(double,double):FALSE(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):150:x == c |==> false
65:LVR:POS:0:org.apache.commons.math3.distribution.TriangularDistribution@density(double):151:2 |==> 0
66:LVR:POS:NEG:org.apache.commons.math3.distribution.TriangularDistribution@density(double):151:2 |==> -2
67:AOR:-(double,double):%(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):151:b - a |==> b % a
68:AOR:-(double,double):*(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):151:b - a |==> b * a
69:AOR:-(double,double):+(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):151:b - a |==> b + a
70:AOR:-(double,double):/(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):151:b - a |==> b / a
71:AOR:/(double,double):%(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):151:2 / (b - a) |==> 2 % (b - a)
72:AOR:/(double,double):*(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):151:2 / (b - a) |==> 2 * (b - a)
73:AOR:/(double,double):+(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):151:2 / (b - a) |==> 2 + (b - a)
74:AOR:/(double,double):-(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):151:2 / (b - a) |==> 2 - (b - a)
75:STD:<RETURN>:<NO-OP>:org.apache.commons.math3.distribution.TriangularDistribution@density(double):151:return Config.__M_NO == 74 ? 2 - (b - a) : Config.__M_NO == 73 ? 2 + (b - a) : Config.__M_NO == 72 ? 2 * (b - a) : Config.__M_NO == 71 ? 2 % (b - a) : Config.__M_NO == 0 && Config.COVERED(71, 74) ? 2 / (b - a) : (Config.__M_NO == 0 && Config.COVERED(65, 66) ? 2 : Config.__M_NO == 66 ? -2 : Config.__M_NO == 65 ? 0 : 2) / (Config.__M_NO == 70 ? b / a : Config.__M_NO == 69 ? b + a : Config.__M_NO == 68 ? b * a : Config.__M_NO == 67 ? b % a : Config.__M_NO == 0 && Config.COVERED(67, 70) ? b - a : b - a); |==> <NO-OP>
76:ROR:<(double,double):!=(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):153:c < x |==> c != x
77:ROR:<(double,double):<=(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):153:c < x |==> c <= x
78:ROR:<(double,double):FALSE(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):153:c < x |==> false
79:ROR:<=(double,double):<(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):153:x <= b |==> x < b
80:ROR:<=(double,double):==(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):153:x <= b |==> x == b
81:ROR:<=(double,double):TRUE(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):153:x <= b |==> true
82:COR:&&(boolean,boolean):==(boolean,boolean):org.apache.commons.math3.distribution.TriangularDistribution@density(double):153:c < x && x <= b |==> c < x == x <= b
83:COR:&&(boolean,boolean):FALSE(boolean,boolean):org.apache.commons.math3.distribution.TriangularDistribution@density(double):153:c < x && x <= b |==> false
84:COR:&&(boolean,boolean):LHS(boolean,boolean):org.apache.commons.math3.distribution.TriangularDistribution@density(double):153:c < x && x <= b |==> c < x
85:COR:&&(boolean,boolean):RHS(boolean,boolean):org.apache.commons.math3.distribution.TriangularDistribution@density(double):153:c < x && x <= b |==> x <= b
86:LVR:POS:0:org.apache.commons.math3.distribution.TriangularDistribution@density(double):154:2 |==> 0
87:LVR:POS:NEG:org.apache.commons.math3.distribution.TriangularDistribution@density(double):154:2 |==> -2
88:AOR:-(double,double):%(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):154:b - x |==> b % x
89:AOR:-(double,double):*(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):154:b - x |==> b * x
90:AOR:-(double,double):+(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):154:b - x |==> b + x
91:AOR:-(double,double):/(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):154:b - x |==> b / x
92:AOR:*(double,double):%(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):154:2 * (b - x) |==> 2 % (b - x)
93:AOR:*(double,double):+(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):154:2 * (b - x) |==> 2 + (b - x)
94:AOR:*(double,double):-(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):154:2 * (b - x) |==> 2 - (b - x)
95:AOR:*(double,double):/(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):154:2 * (b - x) |==> 2 / (b - x)
96:AOR:-(double,double):%(double,double):org.apache.commons.math3.distribution.TriangularDistribution@density(double):155:b - a |==> b % a
