v1,v2
v3,v4
v5,v6
v6,v7
v7,v8
v7,v11
v8,v9
v12,v13
v14,v15
v15,v16
v16,v17
v17,v18
v18,v19
v18,v29
v19,v22
v19,v23
v22,v28
v23,v24
v24,v25
v24,v27
v25,v26
v26,v19
v27,v26
v28,v62
v29,v30
v30,v31
v31,v32
v32,v33
v33,v34
v34,v35
v35,v36
v36,v39
v36,v40
v39,v28
v40,v41
v41,v42
v42,v43
v43,v44
v43,v47
v44,v45
v45,v46
v46,v50
v47,v48
v48,v49
v49,v46
v50,v53
v50,v54
v53,v58
v54,v55
v55,v56
v56,v57
v57,v50
v58,v59
v59,v60
v60,v61
v61,v36
v62,v63
v62,v70
v63,v64
v64,v67
v64,v68
v67,v70
v68,v69
v69,v64
v70,v71
