v1,v2
v2,v3
v2,v4
v4,v5
v5,v6
v5,v7
v7,v8
v8,v9
v9,v10
v10,v11
v11,v12
v12,v13
v13,v16
v13,v17
v16,v25
v17,v18
v17,v19
v19,v20
v20,v23
v20,v24
v23,v13
v24,v20
v25,v26
v26,v27
v27,v30
v27,v31
v30,v32
v31,v27
v32,v33
v33,v36
v33,v37
v36,v38
v37,v33
v38,v39
v39,v42
v39,v43
v42,v49
v43,v44
v44,v47
v44,v48
v47,v39
v48,v44
v49,v50
v50,v53
v50,v54
v53,v60
v54,v55
v55,v58
v55,v59
v58,v50
v59,v55
v60,v61
v61,v64
v61,v65
v64,v74
v65,v66
v66,v67
v67,v70
v67,v71
v70,v61
v71,v72
v72,v73
v73,v67
v75,v76
v76,v77
v78,v79
v79,v80
