v1,v2
v2,v3
v3,v4
v5,v6
v6,v7
v7,v8
v8,v11
v8,v12
v12,v13
v13,v14
v13,v21
v14,v15
v15,v16
v16,v19
v16,v20
v19,v21
v20,v16
v21,v22
v22,v23
v23,v24
v24,v25
v25,v28
v25,v29
v28,v40
v29,v30
v30,v31
v30,v32
v32,v33
v33,v34
v34,v37
v34,v38
v37,v39
v38,v34
v39,v25
v40,v41
v41,v8
v42,v43
v43,v44
v44,v45
v44,v46
v46,v47
v47,v48
v48,v49
v49,v52
v49,v53
v52,v61
v53,v54
v54,v57
v54,v58
v57,v59
v58,v54
v59,v60
v60,v49
v62,v63
v63,v64
v64,v65
v64,v66
v66,v67
v67,v68
v68,v69
v69,v70
v70,v71
v71,v74
v71,v75
v74,v76
v75,v71
v76,v77
v77,v78
v78,v79
v79,v82
v79,v83
v82,v84
v82,v88
v83,v79
v83,v84
v84,v85
v85,v85
v85,v88
v85,v89
v88,v79
v89,v79
