v1,v2
v3,v4
v5,v6
v6,v7
v6,v8
v8,v9
v9,v10
v9,v11
v11,v12
v12,v13
v13,v14
v14,v15
v15,v16
v16,v17
v18,v19
v19,v20
v19,v21
v21,v22
v22,v23
v22,v24
v24,v25
v25,v26
v26,v27
v27,v30
v27,v31
v30,v34
v31,v32
v31,v33
v33,v27
v34,v35
v35,v36
v36,v37
v37,v40
v37,v41
v40,v48
v41,v42
v42,v45
v42,v46
v45,v47
v46,v42
v47,v37
v48,v49
v49,v52
v49,v53
v52,v59
v53,v54
v54,v57
v54,v58
v57,v49
v58,v54
v59,v60
v60,v63
v60,v64
v63,v71
v64,v65
v65,v68
v65,v69
v68,v70
v69,v65
v70,v60
v71,v72
v72,v75
v72,v76
v75,v82
v76,v77
v77,v80
v77,v81
v80,v72
v81,v77
