v1,v2
v2,v3
v2,v4
v4,v5
v5,v6
v5,v7
v7,v8
v8,v9
v9,v10
v10,v11
v11,v12
v12,v13
v13,v14
v14,v15
v15,v16
v16,v19
v16,v20
v19,v37
v20,v21
v20,v22
v22,v23
v23,v26
v23,v27
v26,v16
v27,v28
v27,v29
v29,v30
v30,v33
v30,v34
v33,v23
v34,v35
v35,v36
v36,v30
v37,v38
v38,v39
v39,v42
v39,v43
v42,v44
v43,v39
v44,v45
v45,v48
v45,v49
v48,v50
v49,v45
v50,v51
v51,v54
v51,v55
v54,v56
v55,v51
v56,v57
v57,v58
v58,v59
v59,v62
v59,v63
v62,v77
v63,v64
v64,v67
v64,v68
v67,v59
v68,v69
v69,v72
v69,v73
v72,v64
v73,v74
v74,v75
v75,v76
v76,v69
v77,v78
v78,v79
v79,v82
v79,v83
v82,v96
v83,v84
v84,v87
v84,v88
v87,v79
v88,v89
v89,v92
v89,v93
v92,v84
v93,v94
v94,v95
v95,v89
v96,v97
v97,v100
v97,v101
v100,v113
v101,v102
v102,v105
v102,v106
v105,v97
v106,v107
v107,v110
v107,v111
v110,v102
v111,v112
v112,v107
v113,v114
v114,v117
v114,v118
v117,v133
v118,v119
v119,v120
v120,v123
v120,v124
v123,v114
v124,v125
v125,v126
v126,v129
v126,v130
v129,v120
v130,v131
v131,v132
v132,v126
v134,v135
v135,v136
v137,v138
v138,v139
