v1,v2
v2,v3
v3,v4
v4,v5
v5,v6
v6,v7
v7,v8
v7,v10
v8,v9
v9,v10
v11,v12
v13,v14
v15,v16
v16,v17
v17,v18
v19,v20
v20,v21
v21,v22
v23,v24
v24,v25
v24,v26
v25,v26
v26,v27
v27,v28
v28,v29
v30,v31
v31,v32
v31,v33
v33,v34
v34,v35
v35,v36
v36,v37
v37,v38
v38,v39
v39,v40
v41,v42
v42,v43
v43,v44
v44,v45
v45,v46
v46,v47
v47,v50
v47,v51
v50,v58
v51,v52
v52,v53
v53,v54
v54,v55
v54,v57
v55,v56
v56,v57
v57,v47
v58,v59
v59,v62
v59,v63
v62,v78
v63,v66
v63,v67
v66,v73
v67,v68
v68,v69
v69,v70
v70,v71
v71,v72
v72,v63
v73,v74
v73,v76
v74,v75
v75,v59
v76,v77
v77,v75
v79,v80
v80,v81
v81,v82
v82,v85
v82,v86
v85,v87
v86,v82
v87,v88
v88,v89
v89,v92
v89,v93
v92,v100
v93,v96
v93,v97
v96,v98
v97,v93
v98,v99
v99,v89
v100,v101
v101,v104
v101,v105
v104,v122
v105,v106
v106,v109
v106,v110
v109,v113
v110,v111
v110,v112
v111,v112
v112,v106
v113,v114
v114,v115
v115,v116
v116,v119
v116,v120
v119,v101
v120,v121
v121,v116
v123,v124
v124,v125
v124,v126
v126,v127
v127,v128
v127,v129
v129,v130
