v1,v2
v3,v4
v5,v6
v7,v8
v8,v9
v9,v10
v10,v11
v11,v12
v12,v13
v13,v14
v14,v15
v15,v16
v16,v17
v16,v18
v18,v19
v19,v20
v20,v21
v21,v22
v21,v23
v23,v24
v24,v25
v24,v26
v26,v27
v27,v28
v28,v29
v29,v30
v30,v31
v30,v32
v32,v33
v33,v34
v34,v35
v35,v36
v36,v37
v37,v38
v38,v39
v39,v40
v39,v44
v40,v41
v41,v42
v42,v43
v43,v45
v44,v43
v45,v46
v45,v51
v46,v47
v47,v48
v47,v49
v48,v50
v49,v47
v50,v53
v51,v52
v52,v50
v53,v54
v54,v55
v55,v56
v55,v57
v57,v58
v58,v59
v59,v60
v60,v61
v61,v62
v62,v63
v63,v64
v64,v30
