v1,v2
v2,v3
v3,v4
v4,v5
v5,v6
v7,v8
v9,v10
v11,v12
v12,v13
v13,v14
v14,v15
v15,v16
v16,v17
v16,v19
v17,v18
v18,v19
v19,v20
v20,v21
v20,v24
v21,v22
v22,v23
v23,v25
v24,v23
v25,v26
v26,v27
v26,v28
v27,v32
v28,v29
v29,v30
v30,v31
v31,v26
v32,v33
v32,v41
v33,v36
v33,v37
v36,v41
v37,v38
v37,v40
v38,v39
v39,v36
v40,v33
v42,v43
v43,v44
v44,v45
v45,v46
v46,v47
v47,v48
v48,v49
v49,v50
v50,v51
v51,v52
v51,v64
v52,v53
v52,v57
v53,v54
v53,v55
v54,v55
v55,v56
v57,v58
v58,v59
v59,v60
v59,v61
v60,v63
v61,v62
v62,v59
v63,v64
v64,v65
v65,v66
v65,v77
v66,v67
v66,v70
v67,v68
v68,v69
v69,v76
v70,v71
v70,v74
v71,v72
v72,v73
v73,v69
v74,v75
v75,v73
v77,v78
v78,v79
v79,v80
v80,v81
v81,v82
v81,v83
v82,v83
v83,v84
v84,v85
v85,v86
v86,v87
v88,v89
v89,v90
v90,v91
v91,v92
v92,v93
v94,v95
v95,v96
v96,v97
v97,v98
v98,v99
v99,v100
v100,v101
v101,v102
v102,v103
v103,v104
v104,v105
v104,v108
v105,v106
v106,v107
v108,v109
v109,v110
v109,v113
v110,v111
v111,v112
v113,v114
v114,v115
v114,v118
v115,v116
v116,v117
v118,v119
v119,v120
v120,v121
v120,v122
v121,v122
v122,v123
v123,v124
v124,v125
v125,v126
v125,v144
v126,v127
v127,v128
v128,v129
v129,v132
v129,v133
v132,v140
v133,v134
v133,v136
v134,v135
v135,v129
v136,v137
v137,v138
v137,v139
v138,v139
v139,v129
v140,v141
v140,v142
v141,v142
v142,v143
v143,v145
v144,v143
v145,v146
v145,v147
v146,v147
v147,v148
v148,v149
v149,v151
v151,v152
v151,v153
v152,v166
v153,v154
v153,v155
v154,v152
v155,v156
v156,v157
v156,v158
v157,v158
v158,v159
v159,v160
v159,v161
v160,v161
v161,v162
v162,v163
v163,v164
v163,v165
v164,v152
v165,v151
v166,v167
v167,v168
v168,v169
v169,v170
v170,v171
v171,v173
v173,v174
v173,v175
v174,v195
v175,v176
v175,v177
v176,v174
v177,v178
v178,v179
v178,v180
v179,v174
v180,v181
v181,v182
v181,v186
v182,v183
v183,v184
v184,v185
v185,v173
v186,v187
v187,v188
v187,v190
v188,v189
v189,v173
v190,v191
v191,v192
v192,v193
v193,v194
v194,v173
v195,v197
v195,v207
v197,v198
v197,v199
v198,v207
v199,v200
v200,v201
v200,v202
v201,v198
v202,v203
v203,v204
v203,v206
v204,v205
v205,v197
v206,v198
