v1,v2
v3,v4
v5,v6
v6,v7
v6,v8
v8,v9
v10,v11
v11,v12
v11,v13
v13,v14
v14,v15
v15,v16
v15,v17
v17,v18
v18,v19
v18,v23
v19,v20
v19,v21
v21,v22
v22,v24
v23,v22
v24,v25
v25,v26
v25,v27
v27,v28
v28,v29
v29,v30
v30,v31
v31,v32
v31,v42
v32,v33
v33,v34
v34,v35
v34,v36
v35,v36
v36,v37
v37,v38
v38,v39
v39,v40
v39,v41
v40,v41
v41,v42
v42,v43
v44,v45
v45,v46
v45,v47
v46,v56
v47,v48
v48,v49
v48,v50
v49,v50
v50,v51
v51,v52
v52,v53
v52,v55
v53,v54
v54,v45
v55,v54
v57,v58
v58,v59
v60,v61
v62,v63
v63,v64
v63,v65
v65,v66
v66,v67
v67,v70
v67,v71
v70,v72
v71,v67
v73,v74
v74,v75
v75,v76
v76,v77
v76,v78
v78,v79
