v1,v2
v3,v4
v5,v6
v7,v8
v8,v9
v8,v10
v10,v11
v12,v13
v13,v14
v13,v15
v15,v16
v16,v17
v17,v18
v17,v19
v19,v20
v20,v21
v21,v22
v21,v23
v23,v24
v24,v25
v25,v26
v26,v27
v27,v28
v28,v29
v28,v36
v29,v30
v29,v32
v30,v31
v31,v36
v32,v33
v33,v34
v33,v35
v34,v31
v35,v33
v36,v37
v37,v38
v37,v45
v38,v39
v38,v41
v39,v40
v40,v45
v41,v42
v42,v43
v42,v44
v43,v40
v44,v42
v45,v46
v46,v47
v47,v48
v48,v49
v48,v64
v49,v50
v50,v51
v50,v63
v51,v52
v52,v53
v52,v62
v53,v54
v54,v55
v54,v56
v55,v61
v56,v57
v57,v58
v57,v60
v58,v59
v59,v54
v60,v59
v62,v63
v63,v64
v64,v65
v66,v67
v68,v69
v69,v70
v71,v72
v73,v74
v74,v75
v74,v76
v76,v77
v77,v78
v78,v81
v78,v82
v81,v83
v82,v78
v84,v85
