v1,v2
v2,v3
v3,v4
v4,v5
v5,v6
v6,v7
v6,v8
v7,v11
v8,v9
v9,v10
v10,v6
v12,v13
v14,v15
v16,v17
v18,v19
v19,v20
v20,v21
v20,v22
v22,v23
v23,v24
v25,v26
v27,v28
v28,v29
v28,v30
v30,v31
v32,v33
v33,v34
v34,v35
v34,v37
v35,v36
v36,v38
v37,v36
v39,v40
v40,v41
v41,v42
v41,v44
v43,v48
v44,v45
v44,v47
v45,v46
v46,v43
v47,v46
v49,v50
v50,v51
v51,v52
v52,v53
v52,v54
v53,v56
v54,v55
v55,v52
v56,v57
v57,v58
v57,v59
v59,v60
v60,v61
v61,v62
v62,v63
v63,v66
v64,v63
v64,v65
v65,v71
v66,v67
v67,v68
v68,v69
v68,v70
v69,v70
v70,v64
v72,v73
v74,v75
v76,v77
v77,v78
v79,v80
v81,v82
v83,v84
v85,v86
v87,v88
