v1,v2
v3,v4
v5,v6
v7,v8
v8,v9
v9,v10
v9,v11
v11,v12
v12,v13
v12,v14
v14,v15
v15,v16
v16,v17
v17,v18
v18,v19
v19,v20
v20,v21
v21,v22
v22,v23
v24,v25
v26,v27
v28,v29
v30,v31
v32,v33
v33,v34
v33,v35
v35,v36
v36,v37
v37,v38
v37,v42
v38,v39
v39,v40
v40,v41
v42,v43
v44,v45
v45,v46
v46,v47
v46,v49
v47,v48
v48,v50
v49,v48
v51,v52
v53,v54
v55,v56
v57,v58
v59,v60
v61,v62
v63,v64
v65,v66
v67,v68
v68,v69
v68,v88
v69,v70
v69,v71
v70,v88
v71,v72
v72,v73
v73,v74
v74,v75
v74,v82
v75,v76
v76,v77
v77,v78
v77,v80
v78,v69
v79,v81
v81,v69
v82,v83
v83,v84
v84,v85
v84,v87
v85,v69
v86,v81
v88,v89
v89,v90
v90,v91
v91,v92
v91,v93
v93,v94
v94,v95
v95,v96
v95,v97
v96,v91
v97,v98
v98,v99
v99,v100
v100,v101
v100,v102
v102,v103
v103,v104
v103,v105
v105,v91
