v1,v2
v3,v4
v4,v5
v5,v6
v5,v7
v7,v8
v8,v9
v8,v10
v10,v11
v11,v12
v11,v13
v13,v14
v14,v15
v14,v16
v16,v17
v17,v18
v17,v19
v19,v20
v20,v21
v21,v22
v23,v24
v24,v25
v25,v26
v26,v27
v26,v29
v27,v28
v28,v33
v29,v30
v29,v32
v30,v31
v31,v28
v32,v31
v34,v35
v36,v37
v38,v39
v40,v41
v42,v43
v44,v45
v46,v47
v47,v48
v48,v49
v49,v50
v49,v52
v50,v51
v51,v58
v52,v53
v53,v54
v54,v55
v55,v56
v56,v57
v57,v51
v59,v60
v60,v61
v61,v62
v62,v63
v62,v65
v63,v64
v64,v69
v65,v66
v65,v68
v66,v67
v67,v64
v68,v67
v70,v71
v71,v72
v72,v73
v72,v74
v73,v76
v74,v75
v75,v72
v77,v78
v79,v80
v80,v81
v80,v83
v81,v82
v82,v83
v83,v84
v85,v86
v86,v87
v87,v88
v88,v89
v90,v91
v92,v93
v94,v95
