v1,v2
v2,v3
v2,v4
v4,v5
v6,v7
v8,v9
v10,v11
v11,v12
v12,v13
v13,v14
v13,v16
v15,v32
v16,v17
v16,v26
v17,v18
v18,v19
v19,v22
v19,v23
v22,v24
v23,v19
v25,v15
v26,v27
v26,v29
v28,v25
v29,v30
v29,v31
v31,v28
v33,v34
v34,v35
v35,v36
v36,v37
v37,v38
v38,v41
v38,v42
v41,v43
v42,v38
v44,v45
v45,v46
v46,v47
v47,v48
v48,v49
v49,v52
v49,v53
v52,v58
v53,v56
v53,v57
v56,v49
v57,v53
v58,v59
v59,v60
v60,v63
v60,v64
v63,v65
v64,v60
v66,v67
v67,v68
v68,v69
v69,v70
v70,v71
v70,v72
v72,v73
v73,v74
v74,v76
v75,v78
v75,v85
v76,v75
v77,v75
v78,v79
v79,v81
v80,v77
v80,v83
v81,v80
v82,v80
v83,v84
v84,v82
v85,v86
v86,v89
v86,v90
v89,v98
v90,v93
v90,v94
v93,v86
v94,v95
v94,v97
v95,v96
v96,v90
v97,v96
v98,v99
v99,v100
v100,v103
v100,v104
v103,v105
v104,v100
v105,v108
v105,v109
v108,v111
v109,v110
v110,v105
v111,v112
v111,v113
v112,v113
v113,v114
v114,v117
v114,v118
v117,v129
v118,v121
v118,v122
v121,v114
v122,v123
v122,v128
v123,v126
v123,v127
v126,v128
v127,v123
v128,v118
