v1,v2
v3,v4
v4,v5
v5,v6
v6,v7
v6,v8
v8,v9
v9,v12
v9,v13
v12,v16
v13,v14
v13,v15
v15,v9
v16,v17
v17,v18
v18,v19
v19,v20
v20,v21
v21,v22
v22,v25
v22,v26
v25,v29
v26,v27
v26,v28
v28,v22
v29,v30
v30,v33
v30,v34
v33,v36
v34,v35
v35,v30
v36,v37
v37,v40
v37,v41
v40,v47
v41,v42
v42,v45
v42,v46
v45,v37
v46,v42
v48,v49
v50,v51
v52,v53
v53,v54
v54,v55
v54,v56
v56,v57
v58,v59
v59,v60
v60,v61
v61,v62
v62,v65
v62,v66
v65,v67
v66,v62
v68,v69
v69,v70
v70,v71
v71,v74
v71,v75
v74,v76
v75,v71
v76,v77
v77,v80
v77,v81
v80,v82
v81,v77
v83,v84
v84,v85
v85,v88
v85,v89
v88,v90
v89,v85
v90,v91
v91,v92
v92,v95
v92,v96
v95,v97
v96,v92
