v1,v2
v2,v3
v3,v4
v5,v6
v6,v9
v6,v10
v10,v11
v11,v12
v11,v18
v12,v13
v13,v16
v13,v17
v16,v18
v17,v13
v18,v19
v19,v20
v20,v21
v21,v22
v22,v25
v22,v26
v25,v37
v26,v27
v27,v28
v28,v29
v28,v30
v30,v31
v31,v34
v31,v35
v34,v36
v35,v31
v36,v22
v37,v38
v38,v6
v39,v40
v40,v41
v41,v42
v42,v43
v43,v46
v43,v47
v46,v48
v47,v43
v48,v49
v49,v52
v49,v53
v52,v60
v53,v54
v54,v57
v54,v58
v57,v59
v58,v54
v59,v49
v60,v61
v61,v62
v61,v63
v61,v64
v62,v61
v62,v63
v63,v64
v63,v65
v64,v62
v64,v65
v65,v64
v65,v68
v65,v69
v65,v95
v68,v65
v68,v69
v69,v60
v69,v91
v69,v92
v88,v69
v91,v93
v92,v88
v93,v94
v94,v65
v96,v97
v97,v98
v97,v99
v100,v101
